"wijk";"year_1999";"year_2000";"year_2001";"year_2002";"year_2003";"year_2004";"year_2005";"year_2006";"year_2007";"year_2008";"year_2009"
"Binnenstad";"-275";"-326";"-178";"-292";"-116";"-177";"-356";"-225";"-305";"-289";"-530"
"Bloemekenswijk";"95";"140";"99";"162";"72";"57";"-16";"74";"26";"127";"5"
"Brugse Poort - Rooigem";"-321";"-134";"44";"-52";"-126";"-194";"-41";"-13";"-40";"85";"3"
"Dampoort";"90";"-68";"-47";"-88";"101";"-125";"84";"17";"-29";"-119";"-58"
"Drongen";"6";"175";"46";"90";"74";"23";"140";"91";"51";"107";"38"
"Elisabethbegijnhof - Papegaai";"-66";"-159";"-99";"-180";"-146";"-151";"-244";"-254";"-222";"-313";"-132"
"Gentbrugge";"58";"26";"59";"161";"52";"49";"26";"51";"95";"40";"76"
"Kanaaldorpen en -zone";"12";"16";"-11";"18";"33";"22";"-2";"20";"15";"43";"40"
"Ledeberg";"150";"36";"-68";"65";"-6";"69";"46";"-8";"18";"12";"65"
"Macharius - Heirnis";"-13";"-89";"-43";"-34";"-72";"-113";"-151";"-122";"-98";"-216";"-203"
"Mariakerke";"64";"93";"-53";"28";"95";"194";"199";"164";"88";"108";"240"
"Moscou - Vogelhoek";"2";"33";"43";"18";"6";"12";"65";"36";"28";"75";"17"
"Muide - Meulestede - Afrikalaan";"-188";"-48";"18";"22";"-95";"-11";"-54";"-54";"9";"-58";"19"
"Nieuw Gent - UZ";"25";"101";"-63";"70";"12";"-16";"-78";"70";"39";"3";"-39"
"Oostakker";"191";"141";"169";"180";"191";"155";"241";"211";"140";"278";"255"
"Oud Gentbrugge";"135";"46";"-19";"0";"21";"64";"62";"89";"132";"154";"156"
"Rabot - Blaisantvest";"0";"-171";"-147";"-57";"-125";"-121";"-122";"-311";"-134";"-196";"-189"
"Sint Amandsberg";"265";"263";"191";"185";"221";"205";"102";"260";"203";"203";"190"
"Sint Denijs Westrem";"61";"7";"84";"11";"51";"27";"29";"3";"48";"79";"19"
"Sluizeken - Tolhuis - Ham";"-107";"-52";"-43";"-158";"-235";"-72";"-95";"-157";"-177";"-221";"-116"
"Stationsbuurt Noord";"-255";"-274";"-32";"-154";"-186";"-261";"-90";"-195";"-210";"-197";"-243"
"Stationsbuurt Zuid";"-24";"10";"-24";"-94";"-74";"-11";"-10";"-59";"-40";"-102";"12"
"Watersportbaan - Ekkergem";"52";"53";"31";"-19";"58";"48";"-153";"74";"39";"-62";"-3"
"Wondelgem";"192";"130";"19";"105";"167";"269";"254";"192";"311";"304";"234"
"Zwijnaarde";"35";"51";"9";"12";"21";"73";"172";"75";"19";"157";"153"
